,India,India,India,India,"Congo, DRC",Colombia,Philippines,Colombia,Israel,Angola,Iraq,"Congo, DRC",India,Sierra Leone,"Congo, DRC",Sri Lanka,Sierra Leone
0,83.0,83.0,25.0,83.0,28.0,116.0,8.0,116.0,30.0,213.0,526.0,7.0,23.0,69.0,7.0,216.0,14.0
1,58.0,58.0,23.0,58.0,7.0,81.0,5.0,81.0,21.0,108.0,360.0,0.0,44.0,62.0,0.0,178.0,5.0
2,76.0,76.0,44.0,76.0,0.0,166.0,12.0,166.0,46.0,642.0,1385.0,0.0,32.0,26.0,0.0,820.0,50.0
3,110.0,110.0,32.0,110.0,0.0,169.0,7.0,169.0,57.0,203.0,755.0,69.0,30.0,216.0,69.0,97.0,55.0
4,79.0,79.0,30.0,79.0,69.0,114.0,6.0,114.0,35.0,206.0,796.0,0.0,55.0,108.0,0.0,420.0,22.0
5,148.0,148.0,55.0,148.0,0.0,202.0,6.0,202.0,89.0,742.0,854.0,18.0,48.0,301.0,18.0,1111.0,78.0
6,120.0,120.0,48.0,120.0,18.0,125.0,13.0,125.0,71.0,204.0,716.0,18.0,51.0,53.0,18.0,296.0,2.0
7,106.0,106.0,51.0,106.0,18.0,115.0,10.0,115.0,25.0,38.0,1619.0,24.0,32.0,68.0,24.0,120.0,0.0
8,75.0,75.0,32.0,75.0,24.0,101.0,7.0,101.0,17.0,,1383.0,86.0,33.0,,86.0,184.0,
9,78.0,,33.0,78.0,86.0,79.0,,,,,1248.0,39.0,24.0,,39.0,123.0,
10,70.0,,24.0,,39.0,,,,,,1038.0,11.0,,,11.0,118.0,
11,,,,,11.0,,,,,,280.0,1.0,,,,62.0,
